websites,hop,ip,hostname,latency
google.com,1,10.72.0.3,eduroam-gw3.net.plu.edu,1.652
google.com,2,,,
google.com,3,64.190.16.162,162.16.190.64.in-addr.arpa,3.771
google.com,4,192.178.68.238,192.178.68.238,3.119
google.com,5,108.170.255.127,108.170.255.127,3.860
google.com,6,142.251.55.199,142.251.55.199,3.009
google.com,7,142.251.55.197,142.251.55.197,3.082
duckduckgo.com,1,10.72.0.3,eduroam-gw3.net.plu.edu,2.262
duckduckgo.com,2,,,
duckduckgo.com,3,64.190.16.162,162.16.190.64.in-addr.arpa,3.785
duckduckgo.com,4,206.81.80.30,six1.microsoft.com,3.480
duckduckgo.com,5,51.10.4.7,ae30-0.icr01.mwh01.ntwk.msn.net,6.909
duckduckgo.com,6,104.44.21.149,be-160-0.ibr02.mwh01.ntwk.msn.net,15.045
duckduckgo.com,7,104.44.16.73,be-3-0.ibr02.pdx31.ntwk.msn.net,15.287
duckduckgo.com,8,104.44.49.133,104.44.49.133,15.213
duckduckgo.com,9,51.10.35.195,51.10.35.195,8.156
duckduckgo.com,10,51.10.6.226,51.10.6.226,7.430
chatgpt.com,1,10.72.0.3,eduroam-gw3.net.plu.edu,2.267
chatgpt.com,2,,,
chatgpt.com,3,208.185.69.236,100.xe-200-0-48.er1.sea30.us.zip.zayo.com,1.892
chatgpt.com,4,64.125.22.210,ae14.cs2.sea1.us.zip.zayo.com,3.824
chatgpt.com,5,,,
chatgpt.com,6,208.184.88.166,208.184.88.166.ipyx-330228-003-zyo.zip.zayo.com,5.576
chatgpt.com,7,108.162.243.49,108.162.243.49,6.844
chatgpt.com,8,104.18.32.47,104.18.32.47,3.667
claude.ai,1,10.72.0.3,eduroam-gw3.net.plu.edu,2.797
claude.ai,2,,,
claude.ai,3,208.185.69.236,100.xe-200-0-48.er1.sea30.us.zip.zayo.com,2.492
claude.ai,4,64.125.22.210,ae14.cs2.sea1.us.zip.zayo.com,19.074
claude.ai,5,,,
claude.ai,6,208.184.88.166,208.184.88.166.ipyx-330228-003-zyo.zip.zayo.com,4.335
claude.ai,7,108.162.243.49,108.162.243.49,12.941
claude.ai,8,160.79.104.10,160.79.104.10,3.640
cloudflare.com,1,10.72.0.3,eduroam-gw3.net.plu.edu,2.125
cloudflare.com,2,,,
cloudflare.com,3,208.185.69.236,100.xe-200-0-48.er1.sea30.us.zip.zayo.com,2.074
cloudflare.com,4,64.125.22.210,ae14.cs2.sea1.us.zip.zayo.com,4.319
cloudflare.com,5,,,
cloudflare.com,6,208.184.88.166,208.184.88.166.ipyx-330228-003-zyo.zip.zayo.com,4.805
cloudflare.com,7,108.162.243.45,108.162.243.45,4.410
cloudflare.com,8,104.16.133.229,104.16.133.229,4.093
akamai.com,1,10.72.0.3,eduroam-gw3.net.plu.edu,2.320
akamai.com,2,,,
akamai.com,3,64.190.16.162,162.16.190.64.in-addr.arpa,4.014
akamai.com,4,,,
akamai.com,5,,,
akamai.com,6,,,
akamai.com,7,23.59.88.239,a23-59-88-239.deploy.static.akamaitechnologies.com,3.373
facebook.com,1,10.72.0.3,eduroam-gw3.net.plu.edu,1.723
facebook.com,2,,,
facebook.com,3,64.190.16.162,162.16.190.64.in-addr.arpa,3.757
facebook.com,4,206.81.80.181,six1.pr01.sea1.tfbnw.net,3.062
facebook.com,5,129.134.53.66,po4000.asw01.sea1.tfbnw.net,2.937
facebook.com,6,,,
facebook.com,7,,,
facebook.com,8,,,
facebook.com,9,,,
facebook.com,10,,,
x.com,1,10.72.0.3,eduroam-gw3.net.plu.edu,2.256
x.com,2,,,
x.com,3,208.185.69.236,100.xe-200-0-48.er1.sea30.us.zip.zayo.com,1.536
x.com,4,64.125.22.210,ae14.cs2.sea1.us.zip.zayo.com,9.758
x.com,5,,,
x.com,6,208.184.88.166,208.184.88.166.ipyx-330228-003-zyo.zip.zayo.com,9.594
x.com,7,108.162.243.11,108.162.243.11,4.942
x.com,8,172.66.0.227,172.66.0.227,3.663
icloud.com,1,10.72.0.3,eduroam-gw3.net.plu.edu,2.253
icloud.com,2,,,
icloud.com,3,64.190.16.162,162.16.190.64.in-addr.arpa,3.990
icloud.com,4,206.81.80.204,six1.apple.com,3.172
icloud.com,5,17.253.144.10,apple.com.lk,2.610
drive.google.com,1,10.72.0.3,eduroam-gw3.net.plu.edu,1.623
drive.google.com,2,,,
drive.google.com,3,64.190.16.162,162.16.190.64.in-addr.arpa,3.875
drive.google.com,4,192.178.68.238,192.178.68.238,3.915
drive.google.com,5,192.178.105.141,192.178.105.141,2.849
drive.google.com,6,142.251.55.196,142.251.55.196,4.464
drive.google.com,7,108.170.255.132,108.170.255.132,3.624
youtube.com,1,10.72.0.3,eduroam-gw3.net.plu.edu,2.224
youtube.com,2,,,
youtube.com,3,64.190.16.162,162.16.190.64.in-addr.arpa,3.855
youtube.com,4,192.178.68.238,192.178.68.238,3.148
youtube.com,5,108.170.255.127,108.170.255.127,4.508
youtube.com,6,142.250.225.216,142.250.225.216,3.564
youtube.com,7,142.251.33.78,sea09s28-in-f14.1e100.net,2.807
twitch.tv,1,10.72.0.3,eduroam-gw3.net.plu.edu,1.576
twitch.tv,2,,,
twitch.tv,3,64.190.16.162,162.16.190.64.in-addr.arpa,3.383
twitch.tv,4,,,
twitch.tv,5,,,
twitch.tv,6,,,
twitch.tv,7,,,
twitch.tv,8,,,
twitch.tv,9,,,
twitch.tv,10,,,
